source_event_id,run_id,household_id,request_start_date,request_end_date,request_meal_types,skip_existing,plan_date,week_start_date,meal_type,weekday_index,is_weekend,run_slot_index,week_slot_index,suggestion_action,suggested_recipe_id,suggested_recipe_name,suggested_categoria_alimentar,suggested_proteina_principal,suggested_adequado_refeicao,suggested_family_preference_tier,suggested_is_family_favorite,score,average_rating,ratings_count,reasons,previous_suggested_categoria_alimentar,previous_suggested_proteina_principal,previous_same_meal_type_categoria_alimentar,previous_same_meal_type_proteina_principal,days_since_last_auto_plan_same_recipe,weekly_same_category_count_before_slot,weekly_same_protein_count_before_slot,weekly_meal_type_slot_count_before_slot,prior_household_recipe_seen_count,prior_household_recipe_accept_rate,prior_household_recipe_change_rate,prior_household_recipe_delete_rate,reason_family_favorite,reason_good_family_acceptance,reason_low_family_acceptance,reason_specific_meal_type,reason_unrated_neutral,reason_missing_category,reason_missing_protein,reason_recent_last_3_days,reason_recent_last_7_days,reason_recent_last_14_days,reason_recent_last_21_days,reason_already_in_plan,reason_weekly_category_balance,reason_weekly_category_overuse,reason_weekly_meat_rotation,reason_weekly_meat_overuse,reason_same_previous_category,reason_same_previous_protein,reason_recent_category_repeat,reason_three_meats_in_row,reason_recent_meat_protein_repeat,lifecycle_count,latest_lifecycle_event_kind,latest_execution_status,final_recipe_id,final_recipe_name,outcome_label,accepted_as_suggested,changed_recipe,deleted_after_apply
15,8d766d4f-bc84-4fe4-a38c-5f5efd8a1a14,1,2026-04-19,2026-05-02,"[""jantar""]",1,2026-04-19,2026-04-19,jantar,6,1,1,1,suggest,17,Bacalhau com grão,peixe,peixe,ambos,favorite,1,99.0,5.0,1,"[""receita favorita da família"", ""ajuda ao equilíbrio semanal entre carne, peixe e vegetariano""]",,,,,,0,0,0,0,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,17,Bacalhau com grão,accepted_as_suggested,1,0,0
16,8d766d4f-bc84-4fe4-a38c-5f5efd8a1a14,1,2026-04-19,2026-05-02,"[""jantar""]",1,2026-04-20,2026-04-19,jantar,0,0,2,2,suggest,7,Feijão com arroz,carne,ovos,ambos,favorite,1,99.0,5.0,1,"[""receita favorita da família"", ""ajuda ao equilíbrio semanal entre carne, peixe e vegetariano""]",peixe,peixe,peixe,peixe,,0,0,1,0,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,post_apply_update,recipe_replaced,4,Mac and Cheese,accepted_with_recipe_change,0,1,0
17,8d766d4f-bc84-4fe4-a38c-5f5efd8a1a14,1,2026-04-19,2026-05-02,"[""jantar""]",1,2026-04-21,2026-04-19,jantar,1,0,3,3,suggest,26,Bacalhau com legumes (revista robot de cozinha),peixe,peixe,ambos,favorite,1,85.0,5.0,1,"[""receita favorita da família""]",carne,ovos,carne,ovos,,1,0,2,0,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,Bacalhau com legumes (revista robot de cozinha),accepted_as_suggested,1,0,0
18,8d766d4f-bc84-4fe4-a38c-5f5efd8a1a14,1,2026-04-19,2026-05-02,"[""jantar""]",1,2026-04-22,2026-04-19,jantar,2,0,4,4,suggest,28,Bifanas com natas,carne,porco,ambos,good,0,84.0,4.0,1,"[""boa aceitação familiar"", ""ajuda à rotação semanal entre tipos de carne""]",peixe,peixe,peixe,peixe,,1,0,3,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,post_apply_update,recipe_replaced,18,Frango com massa,accepted_with_recipe_change,0,1,0
19,8d766d4f-bc84-4fe4-a38c-5f5efd8a1a14,1,2026-04-19,2026-05-02,"[""jantar""]",1,2026-04-23,2026-04-19,jantar,3,0,5,5,suggest,43,Gratinado de legumes e salmão,peixe,peixe,ambos,good,0,62.0,4.0,1,"[""boa aceitação familiar"", ""categoria já está acima do equilíbrio desta semana""]",carne,porco,carne,porco,,2,0,4,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,43,Gratinado de legumes e salmão,accepted_as_suggested,1,0,0
20,8d766d4f-bc84-4fe4-a38c-5f5efd8a1a14,1,2026-04-19,2026-05-02,"[""jantar""]",1,2026-04-24,2026-04-19,jantar,4,0,6,6,suggest,2,Peito de frango à la pizza,carne,frango,ambos,good,0,72.0,4.0,1,"[""boa aceitação familiar"", ""categoria já está acima do equilíbrio desta semana"", ""ajuda à rotação semanal entre tipos de carne""]",peixe,peixe,peixe,peixe,,2,0,5,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,2,Peito de frango à la pizza,accepted_as_suggested,1,0,0
21,8d766d4f-bc84-4fe4-a38c-5f5efd8a1a14,1,2026-04-19,2026-05-02,"[""jantar""]",1,2026-04-25,2026-04-19,jantar,5,1,7,7,suggest,11,Peixe cozido,peixe,peixe,ambos,good,0,62.0,4.0,1,"[""boa aceitação familiar"", ""categoria já está acima do equilíbrio desta semana""]",carne,frango,carne,frango,,3,0,6,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,post_apply_update,recipe_replaced,31,Massinha de Peixe,accepted_with_recipe_change,0,1,0
22,8d766d4f-bc84-4fe4-a38c-5f5efd8a1a14,1,2026-04-19,2026-05-02,"[""jantar""]",1,2026-04-26,2026-04-26,jantar,6,1,8,1,suggest,34,Rancho,carne,porco,ambos,good,0,98.0,4.0,1,"[""boa aceitação familiar"", ""ajuda ao equilíbrio semanal entre carne, peixe e vegetariano"", ""ajuda à rotação semanal entre tipos de carne""]",peixe,peixe,peixe,peixe,,0,0,0,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,,34,Rancho,accepted_as_suggested,1,0,0
23,8d766d4f-bc84-4fe4-a38c-5f5efd8a1a14,1,2026-04-19,2026-05-02,"[""jantar""]",1,2026-04-27,2026-04-26,jantar,0,0,9,2,suggest,3,Perca do nilo no forno,peixe,peixe,ambos,neutral,0,77.0,3.0,1,"[""ajuda ao equilíbrio semanal entre carne, peixe e vegetariano""]",carne,porco,carne,porco,,0,0,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,post_apply_update,recipe_replaced,7,Feijão com arroz,accepted_with_recipe_change,0,1,0
24,8d766d4f-bc84-4fe4-a38c-5f5efd8a1a14,1,2026-04-19,2026-05-02,"[""jantar""]",1,2026-04-28,2026-04-26,jantar,1,0,10,3,suggest,23,Bolonhesa,carne,,ambos,favorite,1,81.0,5.0,1,"[""receita favorita da família"", ""proteína principal ainda por definir""]",peixe,peixe,peixe,peixe,,1,0,2,0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,23,Bolonhesa,accepted_as_suggested,1,0,0
