source_event_id,run_id,household_id,request_start_date,request_end_date,request_meal_types,skip_existing,plan_date,meal_type,weekday_index,is_weekend,suggestion_action,suggested_recipe_id,suggested_recipe_name,suggested_categoria_alimentar,suggested_proteina_principal,suggested_adequado_refeicao,score,average_rating,ratings_count,reasons,lifecycle_count,latest_lifecycle_event_kind,latest_execution_status,final_recipe_id,final_recipe_name,outcome_label,accepted_as_suggested,changed_recipe,deleted_after_apply
22,c909eef5-ef0d-4eff-a068-a504ab4c9cb1,1,2026-04-19,2026-04-25,"[""jantar""]",1,2026-04-19,jantar,6,1,suggest,28,Bifanas com natas,carne,porco,ambos,82.0,,0,"[""sem avaliações, tratada como opção neutra"", ""ajuda ao equilíbrio entre carne, peixe e vegetariano"", ""ajuda à rotação entre tipos de carne""]",0,,,28,Bifanas com natas,accepted_as_suggested,1,0,0
23,c909eef5-ef0d-4eff-a068-a504ab4c9cb1,1,2026-04-19,2026-04-25,"[""jantar""]",1,2026-04-20,jantar,0,0,suggest,25,Arroz de bacalhau,peixe,peixe,ambos,74.0,,0,"[""sem avaliações, tratada como opção neutra"", ""ajuda ao equilíbrio entre carne, peixe e vegetariano""]",0,,,25,Arroz de bacalhau,accepted_as_suggested,1,0,0
24,c909eef5-ef0d-4eff-a068-a504ab4c9cb1,1,2026-04-19,2026-04-25,"[""jantar""]",1,2026-04-21,jantar,1,0,suggest,40,Bifes de peru com cogumelos,carne,peru,ambos,70.0,,0,"[""sem avaliações, tratada como opção neutra"", ""ajuda à rotação entre tipos de carne""]",0,,,40,Bifes de peru com cogumelos,accepted_as_suggested,1,0,0
25,c909eef5-ef0d-4eff-a068-a504ab4c9cb1,1,2026-04-19,2026-04-25,"[""jantar""]",1,2026-04-22,jantar,2,0,suggest,17,Bacalhau com grão,peixe,peixe,ambos,62.0,,0,"[""sem avaliações, tratada como opção neutra""]",0,,,17,Bacalhau com grão,accepted_as_suggested,1,0,0
26,c909eef5-ef0d-4eff-a068-a504ab4c9cb1,1,2026-04-19,2026-04-25,"[""jantar""]",1,2026-04-23,jantar,3,0,suggest,20,Carne de vaca guisada,carne,vaca,ambos,62.0,,0,"[""sem avaliações, tratada como opção neutra"", ""ajuda à rotação entre tipos de carne""]",1,post_apply_update,recipe_replaced,13,Chili,accepted_with_recipe_change,0,1,0
27,c909eef5-ef0d-4eff-a068-a504ab4c9cb1,1,2026-04-19,2026-04-25,"[""jantar""]",1,2026-04-24,jantar,4,0,suggest,26,Bacalhau com legumes (revista robot de cozinha),peixe,peixe,ambos,54.0,,0,"[""sem avaliações, tratada como opção neutra""]",0,,,26,Bacalhau com legumes (revista robot de cozinha),accepted_as_suggested,1,0,0
28,c909eef5-ef0d-4eff-a068-a504ab4c9cb1,1,2026-04-19,2026-04-25,"[""jantar""]",1,2026-04-25,jantar,5,1,suggest,30,Frango ao Lagar,carne,frango,ambos,62.0,,0,"[""sem avaliações, tratada como opção neutra"", ""ajuda à rotação entre tipos de carne""]",0,,,30,Frango ao Lagar,accepted_as_suggested,1,0,0
44,d9729353-88bb-423d-b190-ef061374c310,1,2026-04-26,2026-05-02,"[""almoco"", ""jantar""]",1,2026-04-26,almoco,6,1,suggest,16,Douradinhos,peixe,peixe,ambos,74.0,,0,"[""sem avaliações, tratada como opção neutra"", ""ajuda ao equilíbrio entre carne, peixe e vegetariano""]",0,,,16,Douradinhos,accepted_as_suggested,1,0,0
45,d9729353-88bb-423d-b190-ef061374c310,1,2026-04-26,2026-05-02,"[""almoco"", ""jantar""]",1,2026-04-26,jantar,6,1,suggest,6,Bifes de perú com limão,carne,peru,ambos,82.0,,0,"[""sem avaliações, tratada como opção neutra"", ""ajuda ao equilíbrio entre carne, peixe e vegetariano"", ""ajuda à rotação entre tipos de carne""]",0,,,6,Bifes de perú com limão,accepted_as_suggested,1,0,0
46,d9729353-88bb-423d-b190-ef061374c310,1,2026-04-26,2026-05-02,"[""almoco"", ""jantar""]",1,2026-04-27,almoco,0,0,suggest,43,Gratinado de legumes e salmão,peixe,peixe,ambos,62.0,,0,"[""sem avaliações, tratada como opção neutra""]",1,post_apply_update,recipe_replaced,31,Massinha de Peixe,accepted_with_recipe_change,0,1,0
